"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"233A-10","USD","233A-10-1","Jd. Helena","1","79869"
"233C-10","USD","233C-10-0","Ceret","0","59558"
"233C-10","USD","233C-10-1","Term. A. E. Carvalho","1","82390"
"2363-10","USD","2363-10-0","Term. Pq. D. Pedro Ii","0","70115"
"2363-10","USD","2363-10-1","Jd. Danfer","1","57360"
"2435-10","US_","2435-10-0","Term. Aricanduva","0","70769"
"2435-10","US_","2435-10-1","Jd. Coimbra","1","70770"
"2451-10","USD","2451-10-0","Term. Aricanduva","0","58696"
"2451-10","USD","2451-10-1","Vl. São Francisco","1","57114"
"2522-10","USD","2522-10-0","Metrô Itaquera","0","81407"
"2522-10","USD","2522-10-1","Jd. Sto. Antônio","1","81408"
"2523-10","USD","2523-10-0","Term. A. E. Carvalho","0","71844"
"2523-10","USD","2523-10-1","Vl. Progresso","1","71845"
"253F-10","USD","253F-10-0","Term. São Mateus","0","68462"
"253F-10","USD","253F-10-1","Term. A. E. Carvalho","1","81016"
"2551-10","USD","2551-10-0","Term. Pq. D. Pedro Ii","0","70248"
"2551-10","USD","2551-10-1","Term. A. E. Carvalho","1","70249"
"2552-10","USD","2552-10-0","Term. Pq. D. Pedro Ii","0","70117"
"2552-10","USD","2552-10-1","Vl. Mara","1","70125"
"2552-41","U__","2552-41-0","Term. Pq. D. Pedro Ii","0","71846"
"2552-41","U__","2552-41-1","Jd. São Martinho","1","71847"
"2582-10","USD","2582-10-0","Term. Pq. D. Pedro Ii","0","70118"
"2582-10","USD","2582-10-1","Vl. Nova Curuçá","1","70163"
"2582-21","U__","2582-21-0","Term. Pq. D. Pedro Ii","0","70119"
"2583-10","USD","2583-10-0","Term. Aricanduva","0","70139"
"2583-10","USD","2583-10-1","Vl. Curuçá","1","63787"
"2590-10","USD","2590-10-0","Pq. D. Pedro Ii","0","70093"
"2590-10","USD","2590-10-1","União De Vl. Nova","1","70094"
"2626-10","USD","2626-10-0","Term. Pq. D. Pedro Ii","0","70120"
